;user;tweet_type;verified;followers;hashtags
295;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
296;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
297;JuanDitta7;recent;False;106;['VemDavidLuiz']
298;aryanadetarth;recent;False;842;['NosTemposDoImperador']
299;vagnocarvalho;recent;False;186;['TBT']
300;alexnobre;recent;False;1151;['BlackWidow']
301;cadovisk;recent;False;130;['VemDaviLuiz']
302;macgyverlobo;recent;False;741;['ForaBolsonaro', 'bolsocaro', 'miniondeestimacao']
303;wvidal1906;recent;False;458;['TBT']
304;PauloRA55041156;recent;False;3;['NaVeia']
305;joneclaymacedo;recent;False;448;['FloradadosIpes']
306;Caarliinhaa__;recent;False;637;['Tweet', 'Vaaaambora', 'Exqueceeeee']
307;Edilsonperesrj1;recent;False;38;['CidadeAlertaRJ']
308;alberany_alves;recent;False;46365;['QuintaDetremuraSDV']
309;MicheleOrnieski;recent;False;1659;['MPN', 'Morena', 'PrêmiosMTVMIAW', 'MTVMIAWCLIPAOMORENA']
310;Ricardo20499901;recent;False;56;['Dia07VaiSerGIGANTE']
311;alexnobre;recent;False;1151;['ShangChi']
312;penabr;recent;False;1674;['FakeNews']
313;Lawz1nho1;recent;False;117;['vemDavidLuiz']
314;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
315;andiiisu;recent;False;269;['tbt', 'itacoatiara']
316;Wjcfraga39;recent;False;19;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
317;sitavares1910;recent;False;354;['VemDavidLuiz']
318;RogerioBella;recent;False;90;['7deSetembroVaiSerGrande', 'word']
319;AdeilsonAndrade;recent;False;597;['Instagram', 'TBT']
320;marvinsantoli;recent;False;85;['VemDavidLuiz']
321;FlaaviiaLiima;recent;False;585;['vemDavidLuiz']
322;elizete38270068;recent;False;4;['VemDavidLuiz']
323;MelloPretha;recent;False;1174;['NosTemposDoImperador']
324;prdoni;recent;False;80;['BoaNoite', 'DeusSempreNoComando', 'DeuséBomoTempoTodo']
325;danielramos_rj;recent;False;819;['vemDavidLuiz']
326;sitavares1910;recent;False;354;['VemDavidLuiz']
327;CarlM_Silva;recent;False;226;['VemDavidLuiz', 'VemDavidLuiz']
328;AlineMota_;recent;False;116;['CidadeAlertaRJ']
329;sisbresolin;recent;False;1863;['Dia7VaiserGigante']
